"caller","col1","callee"
"main","calls","__builtin_clzll"
"main","calls","__ilog2_u32"
"main","calls","__ilog2_u64"
"main","calls","__order_base_2"
"main","calls","__builtin_clzll"
"main","calls","__ilog2_u32"
"main","calls","__ilog2_u64"
"main","calls","__order_base_2"
"main","calls","__builtin_clzll"
"main","calls","__ilog2_u32"
"main","calls","__ilog2_u64"
"main","calls","__order_base_2"
"acpi_processor_init_invariance_cppc","calls","init_freq_invariance_cppc"
"acpi_processor_init_invariance_cppc","calls","init_freq_invariance_cppc"
"cpc_write_ffh","calls","rdmsrq_safe_on_cpu"
"cpc_write_ffh","calls","wrmsrq_safe_on_cpu"
"cpc_write_ffh","calls","rdmsrq_safe_on_cpu"
"cpc_write_ffh","calls","wrmsrq_safe_on_cpu"
"cpc_read_ffh","calls","rdmsrq_safe_on_cpu"
"cpc_read_ffh","calls","rdmsrq_safe_on_cpu"
"cpc_supported_by_cpu","calls","arch_test_bit"
"cpc_supported_by_cpu","calls","arch_test_bit"
"arch_restore_msi_irqs","calls","xen_initdom_restore_msi"
"arch_restore_msi_irqs","calls","xen_initdom_restore_msi"
"cache_get_priv_group","calls","init_amd_l3_attrs"
"cache_get_priv_group","calls","init_amd_l3_attrs"
"populate_cache_leaves","calls","get_cpu_cacheinfo"
"populate_cache_leaves","calls","amd_init_l3_cache"
"populate_cache_leaves","calls","fill_cpuid4_info"
"populate_cache_leaves","calls","get_cache_id"
"populate_cache_leaves","calls","ci_info_init"
"populate_cache_leaves","calls","__cache_cpumap_setup"
"populate_cache_leaves","calls","get_cpu_cacheinfo"
"populate_cache_leaves","calls","amd_init_l3_cache"
"populate_cache_leaves","calls","fill_cpuid4_info"
"populate_cache_leaves","calls","get_cache_id"
"populate_cache_leaves","calls","ci_info_init"
"populate_cache_leaves","calls","__cache_cpumap_setup"
"init_cache_level","calls","get_cpu_cacheinfo"
"init_cache_level","calls","get_cpu_cacheinfo"
"crash_smp_send_stop","calls","smp_send_stop"
"crash_smp_send_stop","calls","smp_send_stop"
"elfcorehdr_read","calls","cc_platform_has"
"elfcorehdr_read","calls","iov_iter_kvec"
"elfcorehdr_read","calls","read_from_oldmem"
"elfcorehdr_read","calls","cc_platform_has"
"elfcorehdr_read","calls","iov_iter_kvec"
"elfcorehdr_read","calls","read_from_oldmem"
"copy_oldmem_page_encrypted","calls","__copy_oldmem_page"
"copy_oldmem_page_encrypted","calls","copy_oldmem_page"
"copy_oldmem_page_encrypted","calls","__copy_oldmem_page"
"copy_oldmem_page_encrypted","calls","copy_oldmem_page"
"arch_remove_reservations","calls","resource_clip"
"arch_remove_reservations","calls","remove_e820_regions"
"arch_remove_reservations","calls","resource_clip"
"arch_remove_reservations","calls","remove_e820_regions"
"calibrate_delay_is_known","calls","__bad_size_call_parameter"
"calibrate_delay_is_known","calls","arch_test_bit"
"calibrate_delay_is_known","calls","cpumask_any_but"
"calibrate_delay_is_known","calls","__this_cpu_preempt_check"
"calibrate_delay_is_known","calls","__bad_size_call_parameter"
"calibrate_delay_is_known","calls","arch_test_bit"
"calibrate_delay_is_known","calls","cpumask_any_but"
"calibrate_delay_is_known","calls","__this_cpu_preempt_check"
"arch_crash_save_vmcoreinfo","calls","__builtin_constant_p"
"arch_crash_save_vmcoreinfo","calls","arch_test_bit"
"arch_crash_save_vmcoreinfo","calls","_static_cpu_has"
"arch_crash_save_vmcoreinfo","calls","kaslr_offset"
"arch_crash_save_vmcoreinfo","calls","vmcoreinfo_append_str"
"arch_crash_save_vmcoreinfo","calls","__builtin_constant_p"
"arch_crash_save_vmcoreinfo","calls","arch_test_bit"
"arch_crash_save_vmcoreinfo","calls","_static_cpu_has"
"arch_crash_save_vmcoreinfo","calls","kaslr_offset"
"arch_crash_save_vmcoreinfo","calls","vmcoreinfo_append_str"
"arch_hugetlb_valid_size","calls","arch_test_bit"
"arch_hugetlb_valid_size","calls","arch_test_bit"
"vmemmap_populate_print_last","calls","_printk"
"vmemmap_populate_print_last","calls","_printk"
"vmemmap_check_pmd","calls","pmd_leaf"
"vmemmap_check_pmd","calls","vmemmap_verify"
"vmemmap_check_pmd","calls","vmemmap_use_sub_pmd"
"vmemmap_check_pmd","calls","pmd_leaf"
"vmemmap_check_pmd","calls","vmemmap_verify"
"vmemmap_check_pmd","calls","vmemmap_use_sub_pmd"
"vmemmap_set_pmd","calls","native_pte_val"
"vmemmap_set_pmd","calls","native_set_pmd"
"vmemmap_set_pmd","calls","native_make_pmd"
"vmemmap_set_pmd","calls","pfn_pte"
"vmemmap_set_pmd","calls","_printk"
"vmemmap_set_pmd","calls","__phys_addr_nodebug"
"vmemmap_set_pmd","calls","vmemmap_use_new_sub_pmd"
"vmemmap_set_pmd","calls","native_pte_val"
"vmemmap_set_pmd","calls","native_set_pmd"
"vmemmap_set_pmd","calls","native_make_pmd"
"vmemmap_set_pmd","calls","pfn_pte"
"vmemmap_set_pmd","calls","_printk"
"vmemmap_set_pmd","calls","__phys_addr_nodebug"
"vmemmap_set_pmd","calls","vmemmap_use_new_sub_pmd"
"mem_init","calls","get_gate_vma"
"mem_init","calls","register_page_bootmem_info"
"mem_init","calls","kclist_add"
"mem_init","calls","preallocate_vmalloc_pages"
"mem_init","calls","get_gate_vma"
"mem_init","calls","register_page_bootmem_info"
"mem_init","calls","kclist_add"
"mem_init","calls","preallocate_vmalloc_pages"
"arch_mm_preinit","calls","pci_iommu_alloc"
"arch_mm_preinit","calls","pci_iommu_alloc"
"copy_from_kernel_nofault_allowed","calls","__is_canonical_address"
"copy_from_kernel_nofault_allowed","calls","task_size_max"
"copy_from_kernel_nofault_allowed","calls","is_vsyscall_vaddr"
"copy_from_kernel_nofault_allowed","calls","__is_canonical_address"
"copy_from_kernel_nofault_allowed","calls","task_size_max"
"copy_from_kernel_nofault_allowed","calls","is_vsyscall_vaddr"
"phys_mem_access_prot_allowed","calls","pat_enabled"
"phys_mem_access_prot_allowed","calls","pgprot_set_cachemode"
"phys_mem_access_prot_allowed","calls","range_is_allowed"
"phys_mem_access_prot_allowed","calls","pat_enabled"
"phys_mem_access_prot_allowed","calls","pgprot_set_cachemode"
"phys_mem_access_prot_allowed","calls","range_is_allowed"
"arch_report_meminfo","calls","seq_printf"
"arch_report_meminfo","calls","seq_printf"
"acpi_numa_x2apic_affinity_init","calls","_printk"
"acpi_numa_x2apic_affinity_init","calls","acpi_map_pxm_to_node"
"acpi_numa_x2apic_affinity_init","calls","apic_id_valid"
"acpi_numa_x2apic_affinity_init","calls","set_apicid_to_node"
"acpi_numa_x2apic_affinity_init","calls","__node_set"
"acpi_numa_x2apic_affinity_init","calls","srat_disabled"
"acpi_numa_x2apic_affinity_init","calls","bad_srat"
"acpi_numa_x2apic_affinity_init","calls","_printk"
"acpi_numa_x2apic_affinity_init","calls","acpi_map_pxm_to_node"
"acpi_numa_x2apic_affinity_init","calls","apic_id_valid"
"acpi_numa_x2apic_affinity_init","calls","set_apicid_to_node"
"acpi_numa_x2apic_affinity_init","calls","__node_set"
"acpi_numa_x2apic_affinity_init","calls","srat_disabled"
"acpi_numa_x2apic_affinity_init","calls","bad_srat"
"pcibios_root_bridge_prepare","calls","set_primary_fwnode"
"pcibios_root_bridge_prepare","calls","acpi_fwnode_handle"
"pcibios_root_bridge_prepare","calls","set_primary_fwnode"
"pcibios_root_bridge_prepare","calls","acpi_fwnode_handle"
"pcibios_release_device","calls","pcibios_disable_device"
"pcibios_release_device","calls","pcibios_disable_device"
"pcibios_release_device","calls","atomic_dec_return"
"pcibios_release_device","calls","pcibios_disable_device"
"pcibios_release_device","calls","pcibios_disable_device"
"pcibios_release_device","calls","atomic_dec_return"
"pcibios_disable_device","calls","pci_dev_msi_enabled"
"pcibios_disable_device","calls","pci_dev_msi_enabled"
"pcibios_enable_device","calls","pci_enable_resources"
"pcibios_enable_device","calls","pci_dev_msi_enabled"
"pcibios_enable_device","calls","pci_enable_resources"
"pcibios_enable_device","calls","pci_dev_msi_enabled"
"pcibios_device_add","calls","dev_set_msi_domain"
"pcibios_device_add","calls","dev_get_msi_domain"
"pcibios_device_add","calls","pci_domain_nr"
"pcibios_device_add","calls","memremap"
"pcibios_device_add","calls","memunmap"
"pcibios_device_add","calls","set_dev_domain_options"
"pcibios_device_add","calls","dev_set_msi_domain"
"pcibios_device_add","calls","dev_get_msi_domain"
"pcibios_device_add","calls","pci_domain_nr"
"pcibios_device_add","calls","memremap"
"pcibios_device_add","calls","memunmap"
"pcibios_device_add","calls","set_dev_domain_options"
"pcibios_setup","calls","simple_strtol"
"pcibios_setup","calls","simple_strtol"
"pcibios_setup","calls","strcmp"
"pcibios_setup","calls","strncmp"
"pcibios_setup","calls","add_taint"
"pcibios_setup","calls","acpi_noirq_set"
"pcibios_setup","calls","simple_strtol"
"pcibios_setup","calls","simple_strtol"
"pcibios_setup","calls","strcmp"
"pcibios_setup","calls","strncmp"
"pcibios_setup","calls","add_taint"
"pcibios_setup","calls","acpi_noirq_set"
"pcibios_remove_bus","calls","acpi_pci_remove_bus"
"pcibios_remove_bus","calls","acpi_pci_remove_bus"
"pcibios_add_bus","calls","acpi_pci_add_bus"
"pcibios_add_bus","calls","acpi_pci_add_bus"
"pcibios_fixup_bus","calls","list_is_head"
"pcibios_fixup_bus","calls","pci_read_bridge_bases"
