line,class_value
"        apply_button_->setToolTip(tr(""Apply display filter""))_",1
"		proto_item_append_text(tree, "": %p"", (void *) tvb_get_guint64(tvb, offset, info->encoding))_",0
#define NEW_PROTO_TREE_API,0
 * Editor modelines  -  http://www.wireshark.org/tools/modelines.html,1
    offset += 4_,1
,1
            DISSECTOR_ASSERT(pos+chunk_size <= length)_,1
 * http://kafka.apache.org/protocol.html,1
"    { 3, ""Substract"" },",1
"            (guint8*)tvb_memdup(wmem_packet_scope(), tvb, offset+len, val), val)_",0
"            chunk_size = tvb_get_ntohl(tvb, offset+pos)_",0
"        length = (guint32)tvb_get_ntohl(tvb, offset)_",1
    if (api_version >= 7) {,0
    if (api_version >= 4 ) {,1
    if (api_version >= 2 ) {,1
    return result_,1
    LZ4F_decompressionContext_t lz4_ctxt_,1
"    col_append_fstr(pinfo->cinfo, COL_INFO, "" [zstd decompression failed]"")_",0
 * http://kafka.apache.org/0100/documentation/#messageformat,1
        proto_item_set_hidden(ti)_,0
"                NULL, HFILL }",0
    // null array ,0
    } ,1
"    { 82, ""Fenced Instance ID""},",1
"            { ""SASL Authentication Bytes"", ""kafka.header_value"",",0
"            { ""Default"", ""kafka.config_defualt"",",1
        ,1
    ,1
"        tvb_get_string_enc(wmem_packet_scope(), tvb, offset+len, val, ENC_UTF_8|ENC_NA))_",1
    if (p_string_length!=NULL) {,1
"    // proto_item_set_len(message_ti, offset - start_offset)_",0
    DISSECTOR_ASSERT(count>=-1)_,0
"decompress_lz4(tvbuff_t *tvb, packet_info *pinfo _U_, int offset, int length, tvbuff_t **decompressed_tvb, int *decompressed_offset)",1
    LZ4F_freeDecompressionContext(lz4_ctxt)_,1
"                    wmem_free(pinfo->pool, decompressed_buffer)_",0
    if (api_version>=7) {,1
"                                    &global_kafka_tls_range, 65535)_",1
#if 0,1
    else if(2 == doi) {,1
      /* add GDOi specific changes here*/,0
	  /* GDOI */,0
      else  /* TODO: conflict with GAP payload PLOAD_IKE_SEQ already mapped to same variable*/,0
  if(PLOAD_IKE_SAT == next_payload),0
  proto_item            *idit_,0
  proto_tree            *idtree_,0
	    /* Error here*/,0
"      { ""Next Payload"", ""isakmp.sak.Nextpayload"",",0
"					proto_item_append_text(ti, "" on interface id: %u, name: %s"",",0
"              FT_BOOLEAN, 32, NULL, (0xFFE00000u), ""Must be zero"", HFILL }},",0
                if ((pinfo->num > req_frame_num) && (req_function_code == function_code) && ,0
This menu item stops the currently running capture and starts again with,1
More detail on this subject is provided in <<ChWorkDefineFilterSection>>,0
|menu:Apply as Column[]             ||,1
