week_start_date,inflow,outflow
2025-01-06,1,0
2025-01-13,3,0
2025-01-20,2,2
2025-01-27,2,0
2025-02-03,4,1
2025-02-10,2,1
2025-02-17,4,0
2025-02-24,2,1
2025-03-03,3,1
2025-03-10,2,1
2025-03-17,2,1
2025-03-24,2,2
2025-03-31,1,0
2025-04-07,2,2
2025-04-14,1,1
2025-04-21,2,2
2025-04-28,1,1
2025-05-05,1,1
2025-05-12,1,1
2025-05-19,1,0
2025-05-26,1,1
2025-06-02,2,0
2025-06-09,1,0
2025-06-16,1,1
2025-06-23,1,1
2025-06-30,1,0
2025-07-07,2,2
2025-07-14,1,0
2025-07-21,1,1
2025-07-28,2,0
2025-08-04,2,1
2025-08-11,1,1
2025-08-18,1,1
2025-08-25,1,1
2025-09-01,1,0
2025-09-08,2,0
2025-09-15,1,1
2025-09-22,3,2
2025-09-29,2,0
2025-10-06,1,1
2025-10-13,1,0
2025-10-20,4,0
