bug_id,creation_date,updated_at,closed_at,status,priority,component,severity,reported_by,defect_type
CUST-301,2025-01-06T10:15:00,2025-01-20T11:00:00,2025-01-20T11:00:00,closed,High,llvm:codegen,Major,Customer,Regression
CUST-302,2025-01-08T14:20:00,2025-01-15T09:30:00,2025-01-15T09:30:00,closed,Highest,clang:frontend,Critical,Customer,Regression
CUST-303,2025-01-09T11:00:00,2025-01-12T16:00:00,,open,Medium,mlir,Major,Customer,Regression
CUST-304,2025-01-13T09:05:00,2025-02-01T14:00:00,2025-02-01T14:00:00,closed,High,llvm:transforms,Major,Customer,Regression
CUST-305,2025-01-16T17:30:00,2025-01-25T10:10:00,,open,Highest,llvm:codegen,Critical,Customer,Regression
CUST-306,2025-01-21T12:00:00,2025-02-10T11:20:00,2025-02-10T11:20:00,closed,High,lldb,Major,Customer,Regression
CUST-307,2025-01-23T16:45:00,2025-01-28T13:00:00,,open,Medium,clang:sema,Major,Customer,Regression
CUST-308,2025-01-28T10:50:00,2025-03-01T15:00:00,2025-03-01T15:00:00,closed,Highest,llvm:codegen,Critical,Customer,Regression
CUST-309,2025-02-03T15:00:00,2025-02-18T10:00:00,2025-02-18T10:00:00,closed,High,clang:frontend,Major,Customer,Regression
CUST-310,2025-02-05T11:25:00,2025-02-11T14:30:00,,open,High,llvm:transforms,Major,Customer,Regression
CUST-311,2025-02-11T13:30:00,2025-03-05T16:00:00,2025-03-05T16:00:00,closed,Medium,mlir,Minor,Customer,Regression
CUST-312,2025-02-12T09:55:00,2025-02-20T11:00:00,,open,Highest,llvm:codegen,Critical,Customer,Regression
CUST-313,2025-02-17T16:00:00,2025-03-15T12:45:00,2025-03-15T12:45:00,closed,High,lldb,Major,Customer,Regression
CUST-314,2025-02-20T10:00:00,2025-02-25T09:00:00,,open,High,clang:sema,Major,Customer,Regression
CUST-315,2025-02-25T14:10:00,2025-04-01T11:00:00,2025-04-01T11:00:00,closed,Highest,llvm:codegen,Critical,Customer,Regression
CUST-316,2025-03-03T11:40:00,2025-03-10T13:20:00,,open,Medium,clang:frontend,Major,Customer,Regression
CUST-317,2025-03-04T17:00:00,2025-03-20T10:00:00,2025-03-20T10:00:00,closed,High,llvm:transforms,Major,Customer,Regression
CUST-318,2025-03-11T10:00:00,2025-03-18T15:00:00,,open,Highest,llvm:codegen,Critical,Customer,Regression
CUST-319,2025-03-13T13:00:00,2025-03-15T16:00:00,,open,High,mlir,Major,Customer,Regression
CUST-320,2025-03-18T09:30:00,2025-04-10T14:00:00,2025-04-10T14:00:00,closed,Medium,lldb,Minor,Customer,Regression
CUST-321,2025-03-24T16:20:00,2025-04-05T11:30:00,,open,Highest,llvm:codegen,Critical,Customer,Regression
CUST-322,2025-04-01T10:50:00,2025-04-15T10:00:00,2025-04-15T10:00:00,closed,High,clang:sema,Major,Customer,Regression
CUST-323,2025-04-03T14:00:00,2025-04-08T09:00:00,,open,Medium,llvm:transforms,Major,Customer,Regression
CUST-324,2025-04-08T11:15:00,2025-05-01T12:00:00,2025-05-01T12:00:00,closed,Highest,llvm:codegen,Critical,Customer,Regression
CUST-325,2025-04-15T15:00:00,2025-04-22T16:45:00,,open,High,clang:frontend,Major,Customer,Regression
CUST-326,2025-04-22T13:00:00,2025-05-10T11:00:00,2025-05-10T11:00:00,closed,Medium,mlir,Major,Customer,Regression
CUST-327,2025-04-29T09:00:00,2025-05-05T10:00:00,,open,Highest,llvm:codegen,Critical,Customer,Regression
CUST-328,2025-05-06T14:30:00,2025-05-20T15:00:00,2025-05-20T15:00:00,closed,High,lldb,Major,Customer,Regression
CUST-329,2025-05-13T11:00:00,2025-05-19T13:00:00,,open,Medium,clang:sema,Minor,Customer,Regression
CUST-330,2025-05-20T10:40:00,2025-06-10T10:00:00,2025-06-10T10:00:00,closed,Highest,llvm:codegen,Critical,Customer,Regression
CUST-331,2025-05-27T16:00:00,2025-06-02T11:00:00,,open,High,llvm:transforms,Major,Customer,Regression
CUST-332,2025-06-03T12:20:00,2025-06-18T14:00:00,2025-06-18T14:00:00,closed,Medium,clang:frontend,Major,Customer,Regression
CUST-333,2025-06-10T09:00:00,2025-06-15T09:30:00,,open,Highest,llvm:codegen,Critical,Customer,Regression
CUST-334,2025-06-17T15:00:00,2025-07-01T16:00:00,2025-07-01T16:00:00,closed,High,mlir,Major,Customer,Regression
CUST-335,2025-06-24T11:30:00,2025-07-05T10:00:00,,open,Medium,lldb,Minor,Customer,Regression
CUST-336,2025-07-01T14:00:00,2025-07-15T11:45:00,2025-07-15T11:45:00,closed,Highest,llvm:codegen,Critical,Customer,Regression
CUST-337,2025-07-08T10:00:00,2025-07-12T12:00:00,,open,High,clang:sema,Major,Customer,Regression
CUST-338,2025-07-15T16:10:00,2025-08-01T13:00:00,2025-08-01T13:00:00,closed,Medium,llvm:transforms,Major,Customer,Regression
CUST-339,2025-07-22T09:45:00,2025-07-28T10:00:00,,open,Highest,llvm:codegen,Critical,Customer,Regression
CUST-340,2025-07-29T13:15:00,2025-08-10T14:00:00,2025-08-10T14:00:00,closed,High,clang:frontend,Major,Customer,Regression
CUST-341,2025-08-05T11:00:00,2025-08-12T09:00:00,,open,Medium,mlir,Minor,Customer,Regression
CUST-342,2025-08-12T14:20:00,2025-08-25T11:00:00,2025-08-25T11:00:00,closed,Highest,llvm:codegen,Critical,Customer,Regression
CUST-343,2025-08-19T09:00:00,2025-08-22T10:30:00,,open,High,lldb,Major,Customer,Regression
CUST-344,2025-08-26T15:30:00,2025-09-10T16:00:00,2025-09-10T16:00:00,closed,Medium,clang:sema,Major,Customer,Regression
CUST-345,2025-09-02T10:10:00,2025-09-08T11:00:00,,open,Highest,llvm:codegen,Critical,Customer,Regression
CUST-346,2025-09-09T13:40:00,2025-09-20T14:00:00,2025-09-20T14:00:00,closed,High,llvm:transforms,Major,Customer,Regression
CUST-347,2025-09-16T11:50:00,2025-09-22T10:00:00,,open,Medium,clang:frontend,Minor,Customer,Regression
CUST-348,2025-09-23T16:00:00,2025-10-05T12:00:00,2025-10-05T12:00:00,closed,Highest,llvm:codegen,Critical,Customer,Regression
CUST-349,2025-09-30T09:20:00,2025-10-06T11:00:00,,open,High,mlir,Major,Customer,Regression
CUST-350,2025-10-07T14:00:00,2025-10-15T15:30:00,,open,Highest,llvm:codegen,Critical,Customer,Regression
CUST-351,2025-10-14T10:30:00,2025-10-18T13:00:00,,open,High,lldb,Major,Customer,Regression
CUST-352,2025-10-16T11:00:00,2025-10-19T09:00:00,,open,Medium,clang:sema,Major,Customer,Regression
