ID;NoD;TAP;LCP;SLC;DC;SDC;BC;CC;TZ;Class
apache/mahut;44;15,95;2,2727;176,83;0,008447;0,163;0,000255;22;10;OK
apache/cassandra;348;7,3;0,2873;401;0,00218;0,18;0,00000003;194;20;OK
apache/lucene-solr;181;12,83;0,55;427;0,00328;0,223;0,00000029;105;19;OK
apache/pig;32;23,13;3,125;216;0,204;0,2145;0,00002;19;1;FAULT_PRONE
apache/jackrabbit;49;22;3,56;429,56;0,13;0,225;0,0000065;29;1;FAULT_PRONE
apache/jena;66;14,08;1,44;642;0,01222;0,1837;0,000028;37;15;FAULT_PRONE
eclipse/cdt;249;9,28;0,4;356,16;0,0027;0,1465;0,00000054;131;14;FAULT_PRONE
ApacheDrill;178;10,103;0,5494;42;0,022;0,1522;0,00017;51;14;
ganttproject;31;9,8;3,22;485;0,1827;0,167;0,000243;14;8;
qemu/qemu;1613;8,1;0,071;251;0,00053;0,157;0,0000005;869;25;
nginx/ngin;62;8,1;1,58;490;0,0127;0,236;0,000034;34;12;
bitcoin/bitcoin;739;5,3;0,132;235,85;0,00119;0,113;0,00000002;389;29;
python/cpython;779;0,045;0,12;632,2;0,00095;0,138;0,00000001;430;22;
liferay;20;19;0,37;12,3;0,255;0,249;0,0007;13;10;
Thepracticaldev;82;0,104;0,08;5,12;0,0044;0,175;0,000006;60;17;
floweisshardt/atf;10;0,1215;10,67;203,16;0,07;0,195;0,000656;3,37;3;
eclipse/b3;9;19,4;19,66;96,67;0,044;0,24;0,0019;4,74;5;
eclipse/rdf4j-storage;27;30;1,77;111,6;0,017;0,219;0,0003;16;11;
Equinoxprojectrepository;16;10,9;1,17;51,93;0,00089;0,078;0,00038;3,17;9;
ApachejUDDI;17;14;15,7;122,3;0,223;0,16;0,00038;6,94;3;
ApacheMavenJavadocPlugin;39;18;0,62;55,75;0,01388;0,144;0,0002;18;5;
ApacheMavenShadePlugin;27;20;0,5;23,9;0,0158;0,12;0,00007;12;5;
cloudera;14;17;1,96;50,6;0,03351;0,246;0,002;9,76;6;
ApacheAvro;27;9,77;0,23;95,25;0,00619;0,124;0,000018;41;14;
ApacheBeanValidation;12;27;7,3;166;0,0473;0,25;0,00042;0,769;5;
ApacheCordovaAndroid;222;5,1;0,07;73;0,00301;0,083;0,00000012;98;22;
Apacheapache/ignite;289;22;0,29;291;0,00221;0,218;0,0000006;180;17;
ApacheEagle;37;16;0,76;55;0,0109;0,239;0,000068;28;5;
ApacheEdgent;38;11;0,9;102;0,0122;0,249;0,000008;26;13;
ApacheEmpire-db;13;20;6,21;169,7;0,05744;0,274;0,00046;7;4;
apache/spark;1887;4,9;0,006;55,9;0,00045;0,11;1,00E-10;1005;16;
ApacheGora;57;15,55;32,9;43,7;0,0058;0,11;0,000007;26;14;
apache/flink;664;6,85;0,033;107;0,001212;0,115;0,000000003;340;19;
eclipse/openj9-omr;140;26,48;0,37;101,4;0,0039575;0,237;0,000003;94;15;
Rails;4664;4,19;0,15;160;0,00009;0,067;9,00E-12;2403;30;
Audacity;123;12,97;0,76;282;0,0067;0,15;0,0000078;60;12;
GitLab;2277;4,5;0,0154;293;0,000398;0,1;0,000000007;1198;29;
Scala;538;5,26;0,1;283;0,000181;0,111;0,00000006;282;22;
Torando;383;3,2;2,77;144,3;0,00245;0,056;0,0000002;184;21;
Arduino;283;1,7;8,4;124,35;0,00128;0,098;0,000000004;137;20;
Capistrano;261;1,33;0,023;34,3;0,0032;0,083;0,000005;131;20;
Pdfsam;8;22,22;15;342;0,14;0,3;0,0029;4;5;
Squirrel-sql;27;10,8;9,6;748;0,028;0,15;0,000006;12;8;
apache/nutch;74;10,34;0,5;82,6;0,012728;0,14;0,00005;37;12;
eclips/smarthome;203;13,9;0,11;113;0,00373;0,178;8,00E-10;117;16;
eclips/kapua;2;1;0,5;0;0;0;0;1;1;
apache/hbase;319;7,68;0,15;316;0,00239;0,185;0,0000002;183;16;
apache/tez;32;22;2,5;165;0,0136;0,18;0,00004;19;8;
apache/samza;125;15;0,08;22,5;0,0046;0,129;0,0000005;63;5;
apache/geode;115;26;0,48;110;0,0048;0,246;0,0000003;76;15;
