;ID;NoD;TAP;LCP;SLC;DC;SDC;BC;CC;TZ;class
0;ApacheDrill;178;10.103;0.5494;42.0;0.022000000000000002;0.1522;0.00016999999999999999;51.0;14;FAULT_PRONE
1;ganttproject;31;9.8;3.22;485.0;0.1827;0.16699999999999998;0.00024300000000000002;14.0;8;FAULT_PRONE
2;qemu/qemu;1613;8.1;0.071;251.0;0.00053;0.157;5e-07;869.0;25;OK
3;nginx/ngin;62;8.1;1.58;490.0;0.0127;0.23600000000000002;3.4e-05;34.0;12;FAULT_PRONE
4;bitcoin/bitcoin;739;5.3;0.132;235.85;0.00119;0.113;2e-08;389.0;29;FAULT_PRONE
5;python/cpython;779;0.045;0.12;632.2;0.00095;0.138;1e-08;430.0;22;FAULT_PRONE
6;liferay;20;19.0;0.37;12.3;0.255;0.249;0.0007;13.0;10;FAULT_PRONE
7;Thepracticaldev;82;0.10400000000000001;0.08;5.12;0.0044;0.175;6e-06;60.0;17;OK
8;floweisshardt/atf;10;0.1215;10.67;203.16;0.07;0.195;0.000656;3.37;3;FAULT_PRONE
9;eclipse/b3;9;19.4;19.66;96.67;0.044000000000000004;0.24;0.0019;4.74;5;FAULT_PRONE
10;eclipse/rdf4j-storage;27;30.0;1.77;111.6;0.017;0.21899999999999997;0.0003;16.0;11;FAULT_PRONE
11;Equinoxprojectrepository;16;10.9;1.17;51.93;0.0008900000000000001;0.078;0.00037999999999999997;3.17;9;FAULT_PRONE
12;ApachejUDDI;17;14.0;15.7;122.3;0.223;0.16;0.00037999999999999997;6.94;3;FAULT_PRONE
13;ApacheMavenJavadocPlugin;39;18.0;0.62;55.75;0.013880000000000002;0.14400000000000002;0.0002;18.0;5;FAULT_PRONE
14;ApacheMavenShadePlugin;27;20.0;0.5;23.9;0.0158;0.12;7e-05;12.0;5;FAULT_PRONE
15;cloudera;14;17.0;1.96;50.6;0.033510000000000005;0.24600000000000002;0.002;9.76;6;FAULT_PRONE
16;ApacheAvro;27;9.77;0.23;95.25;0.00619;0.124;1.8e-05;41.0;14;FAULT_PRONE
17;ApacheBeanValidation;12;27.0;7.3;166.0;0.0473;0.25;0.00042;0.769;5;FAULT_PRONE
18;ApacheCordovaAndroid;222;5.1;0.07;73.0;0.00301;0.083;1.2e-07;98.0;22;FAULT_PRONE
19;Apacheapache/ignite;289;22.0;0.29;291.0;0.00221;0.218;6e-07;180.0;17;OK
20;ApacheEagle;37;16.0;0.76;55.0;0.0109;0.239;6.8e-05;28.0;5;FAULT_PRONE
21;ApacheEdgent;38;11.0;0.9;102.0;0.0122;0.249;8e-06;26.0;13;FAULT_PRONE
22;ApacheEmpire-db;13;20.0;6.21;169.7;0.05744;0.27399999999999997;0.00045999999999999996;7.0;4;FAULT_PRONE
23;apache/spark;1887;4.9;0.006;55.9;0.00045;0.11;1e-10;1005.0;16;FAULT_PRONE
24;ApacheGora;57;15.55;32.9;43.7;0.0058;0.11;7.000000000000001e-06;26.0;14;FAULT_PRONE
25;apache/flink;664;6.85;0.033;107.0;0.001212;0.115;3e-09;340.0;19;FAULT_PRONE
26;eclipse/openj9-omr;140;26.48;0.37;101.4;0.0039575;0.237;3e-06;94.0;15;OK
27;Rails;4664;4.19;0.15;160.0;9e-05;0.067;9e-12;2403.0;30;FAULT_PRONE
28;Audacity;123;12.97;0.76;282.0;0.0067;0.15;7.8e-06;60.0;12;FAULT_PRONE
29;GitLab;2277;4.5;0.0154;293.0;0.000398;0.1;7e-09;1198.0;29;FAULT_PRONE
30;Scala;538;5.26;0.1;283.0;0.000181;0.111;6e-08;282.0;22;FAULT_PRONE
31;Torando;383;3.2;2.77;144.3;0.00245;0.055999999999999994;2e-07;184.0;21;FAULT_PRONE
32;Arduino;283;1.7;8.4;124.35;0.00128;0.098;4e-09;137.0;20;FAULT_PRONE
33;Capistrano;261;1.33;0.023;34.3;0.0032;0.083;5e-06;131.0;20;FAULT_PRONE
34;Pdfsam;8;22.22;15.0;342.0;0.14;0.3;0.0029;4.0;5;FAULT_PRONE
35;Squirrel-sql;27;10.8;9.6;748.0;0.027999999999999997;0.15;6e-06;12.0;8;FAULT_PRONE
36;apache/nutch;74;10.34;0.5;82.6;0.012728;0.14;5e-05;37.0;12;FAULT_PRONE
37;eclips/smarthome;203;13.9;0.11;113.0;0.00373;0.17800000000000002;8e-10;117.0;16;OK
38;eclips/kapua;2;1.0;0.5;0.0;0.0;0.0;0.0;1.0;1;FAULT_PRONE
39;apache/hbase;319;7.68;0.15;316.0;0.0023899999999999998;0.185;2e-07;183.0;16;OK
40;apache/tez;32;22.0;2.5;165.0;0.0136;0.18;4e-05;19.0;8;FAULT_PRONE
41;apache/samza;125;15.0;0.08;22.5;0.0046;0.129;5e-07;63.0;5;FAULT_PRONE
42;apache/geode;115;26.0;0.48;110.0;0.0048;0.24600000000000002;3e-07;76.0;15;OK
43;apache/bahir;70;7.11;0.07;11.45;0.00672;0.113;4e-07;31.0;13;FAULT_PRONE
44;apache/helix;32;13.0;3.0;182.11;0.013000000000000001;0.163;0.0003;17.0;9;FAULT_PRONE
45;apache/pulsar;71;18.0;0.48;92.7;0.0086;0.22899999999999998;1e-05;45.0;14;OK
46;apache/mesos;340;8.26;0.14;165.4;0.0022;0.196;2e-08;196.0;13;OK
47;apache/orc;51;10.0;0.17;38.04;0.0144;0.188;5e-06;29.0;11;FAULT_PRONE
48;apache/syncope;41;12.86;3.64;578.0;0.017;0.2;1e-06;24.0;9;FAULT_PRONE
49;apache/kudu;105;12.44;0.67;275.0;0.00703;0.213;6e-07;61.0;15;OK
50;apache/allura;72;8.55;1.77;307.0;0.0099;0.165;2e-06;38.0;13;OK
51;apache/deltaspike;52;18.9;0.8;139.7;0.0111;0.19;7e-05;28.0;11;FAULT_PRONE
52;KDE/okular;290;8.6;0.09;160.0;0.00251;0.096;4e-08;142.0;15;FAULT_PRONE
53;KDE/kget;124;12.0;0.18;72.88;0.0056;0.155;5.9999999999999995e-05;64.0;8;OK
54;KDE/granatier;45;15.0;0.39;54.4;0.0144;0.156;0.0001;22.0;5;FAULT_PRONE
